완료,제목,파일명,날짜,시작시간,방송길이,주제,part,상세내용,메모,URL,손님,영도,주식,이미지파일명,카테고리,고유 라이브 ID,금일 방송 횟수,타임라인CSV,소스CSV
False,던파공식만화그리기,20250226,20250226,,05:43:14,,,,,https://chzzk.naver.com/video/6022261,,,,,,,,,
False,던파공식만화그리기,20250226,20250226,,06:56:19,,,,,https://chzzk.naver.com/video/6006347,,,,,,,,,
False,일요일그림방송,20250224,20250224,,03:59:05,,,,,https://chzzk.naver.com/video/5975519,,,,,,,,,
False,원고작업과 영도데이,20250222,20250222,,08:09:41,,,,,https://chzzk.naver.com/video/5952072,,,,,,,,,
False,던전앤파이터 만화그리기,20250221,20250221,,04:17:14,,,,,https://chzzk.naver.com/video/5933193,,,,,,,,,
False,베누스 벗기기,20250220,20250220,,06:30:55,,,,,https://chzzk.naver.com/video/5914801,,,,,,,,,
False,심야그림방송 ,20250217,20250217,,03:29:44,,,,,https://chzzk.naver.com/video/5861023,,,,,,,,,
False,"낙서와 소통방송(w환댕,단투 )",20250215,20250215,,02:49:26,,,,,https://chzzk.naver.com/video/5839187,,,,,,,,,
False,[베누스 특집] 정준도 성캐랑 중천,20250212,20250212,,01:39:28,,,,,https://chzzk.naver.com/video/5783801,,,,,,,,,
False,그림을 그릴 기운이 없다,20250209,20250209,,09:34:30,,,,,https://chzzk.naver.com/video/5728129,,,,,,,,,
False,똥겜의 날,20250209,20250209,,03:59:23,,,,,https://chzzk.naver.com/video/5739076,,,,,,,,,
False,8시 엠버서더 베누스 강림 스피드런 출격,20250207,20250207,,07:57:40,,,,,https://chzzk.naver.com/video/5690996,,,,,,,,,
False,벌-떡 (점검끝나서 자다가 인나는 소리),20250206,20250206,,06:01:07,,,,,https://chzzk.naver.com/video/5678904,,,,,,,,,
False,그림그리는 남자,20250202,20250202,,00:47:48,,,,,https://chzzk.naver.com/video/5615898,,,,,,,,,
False,사람들 원하는 그림을 그리는 방송,20250202,20250202,,07:00:36,,,,,https://chzzk.naver.com/video/5606127,,,,,,,,,
False,그르르르르르륵.... 더어어언...파아아..,20250201,20250201,,02:02:12,,,,,https://chzzk.naver.com/video/5595574,,,,,,,,,
False,낙서와 영도데이♡,20250201,20250201,,10:11:25,,,,,https://chzzk.naver.com/video/5585130,,,,,,,,,
False,그르르륵... 더언...파아아.... ,20250131,20250131,,01:45:09,,,,,https://chzzk.naver.com/video/5575724,,,,,,,,,
False,목요일은 목요일은 던파다,20250130,20250130,,04:47:15,,,,,https://chzzk.naver.com/video/5560341,,,,,,,,,
False,무려 네이버웹툰작가 루즌아씨 초대석,20250126,20250126,,02:54:41,,,,,https://chzzk.naver.com/video/5507963,,,,,,,,,
False,마비유저한테 던파 퍼먹이기,20250126,20250126,,05:39:32,,,,,https://chzzk.naver.com/video/5494438,,,,,,,,,
False,목요일 목요일은 던파다,20250123,20250123,,03:54:43,,,,,https://chzzk.naver.com/video/5450296,,,,,,,,,
False,낙서와 영도데이♡,20250120,20250120,,03:49:43,,,,,https://chzzk.naver.com/video/5407913,,,,,,,,,
False,낙서방송,20250119,20250119,,02:28:08,,,,,https://chzzk.naver.com/video/5384762,,,,,,,,,
False,강남던파팝업,20250119,20250119,,00:36:59,,,,,https://chzzk.naver.com/video/5387303,,,,,,,,,
False,그림그림,20250118,20250118,,02:57:04,,,,,https://chzzk.naver.com/video/5372516,,,,,,,,,
